ticker,company_name,quote_type,exchange,exchange_name,currency,country,sector,industry,website,employees,market_cap,first_trade_date,age_years_since_first_trade,business_summary,listing_source,updated_at_utc
00XL.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
00XN.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
00XP.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
00XR.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
00XS.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
00XT.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
04Q.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0B2.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0EMU.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0GZB.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0GZC.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0GZD.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0GZJ.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0GZK.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0GZL.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0LJC.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0LJD.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0LJI.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0NS.DE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00000C4T.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00000M7O,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00000OPB.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00001N8D.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00001R8Q.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00005VLQ.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00005VLT.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
